Activity,Type,Start,Finish,Details
Sleep,,"2023-07-17,  12:30 AM","2023-07-17,  11:02 AM",
Growth,Weight,"2023-07-16,  9:37 PM","2023-07-16,  9:37 PM",15kg
Sleep,,"2023-07-16,  4:06 PM","2023-07-16,  4:14 PM",
Sleep,,"2023-07-15,  11:56 PM","2023-07-16,  10:36 AM",
Sleep,,"2023-07-15,  12:41 AM","2023-07-15,  9:51 AM",
Sleep,,"2023-07-14,  3:40 PM","2023-07-14,  5:57 PM",
Sleep,,"2023-07-14,  12:06 AM","2023-07-14,  8:20 AM",
Sleep,,"2023-07-13,  12:27 AM","2023-07-13,  11:30 AM",
Sleep,,"2023-07-12,  1:06 AM","2023-07-12,  10:15 AM",
Sleep,,"2023-07-11,  8:15 PM","2023-07-11,  8:35 PM",
Sleep,,"2023-07-10,  11:54 PM","2023-07-11,  10:46 AM",
Sleep,,"2023-07-10,  12:54 AM","2023-07-10,  10:48 AM",
Sleep,,"2023-07-09,  4:45 PM","2023-07-09,  5:04 PM",
Sleep,,"2023-07-09,  12:04 AM","2023-07-09,  10:31 AM",
Sleep,,"2023-07-08,  1:01 AM","2023-07-08,  10:24 AM",
Sleep,,"2023-07-07,  5:10 PM","2023-07-07,  7:15 PM",
Sleep,,"2023-07-06,  11:09 PM","2023-07-07,  8:15 AM",
Sleep,,"2023-07-05,  10:32 PM","2023-07-06,  9:59 AM",
Sleep,,"2023-07-05,  12:25 AM","2023-07-05,  9:49 AM",
Sleep,,"2023-07-04,  5:50 PM","2023-07-04,  6:26 PM",
Sleep,,"2023-07-03,  11:47 PM","2023-07-04,  10:45 AM",
Sleep,,"2023-07-03,  12:15 AM","2023-07-03,  8:53 AM",
Sleep,,"2023-07-02,  6:44 PM","2023-07-02,  7:24 PM",
Sleep,,"2023-07-02,  3:52 PM","2023-07-02,  4:01 PM",
Sleep,,"2023-07-01,  11:18 PM","2023-07-02,  10:54 AM",
Sleep,,"2023-07-01,  1:31 AM","2023-07-01,  9:49 AM",
Sleep,,"2023-06-30,  4:30 PM","2023-06-30,  6:15 PM",
Sleep,,"2023-06-29,  11:37 PM","2023-06-30,  8:44 AM",
Sleep,,"2023-06-29,  4:27 PM","2023-06-29,  5:38 PM",
Health,Medication,"2023-06-29,  3:35 AM","2023-06-29,  3:35 AM",Tylenol 
Health,Temperature,"2023-06-29,  3:34 AM","2023-06-29,  3:34 AM",39°C
Sleep,,"2023-06-28,  10:00 PM","2023-06-29,  8:33 AM",
Health,Temperature,"2023-06-28,  8:52 PM","2023-06-28,  8:52 PM",38.3°C
Health,Medication,"2023-06-28,  8:52 PM","2023-06-28,  8:52 PM",Tylenol 
Health,Temperature,"2023-06-28,  4:18 PM","2023-06-28,  4:18 PM",39.2°C
Health,Medication,"2023-06-28,  4:18 PM","2023-06-28,  4:18 PM",Tylenol 
Sleep,,"2023-06-28,  2:56 PM","2023-06-28,  4:18 PM",
Health,Temperature,"2023-06-28,  8:30 AM","2023-06-28,  8:30 AM",38.8°C
Health,Medication,"2023-06-28,  8:30 AM","2023-06-28,  8:30 AM",Tylenol 
Sleep,,"2023-06-27,  11:02 PM","2023-06-28,  8:30 AM",
Health,Medication,"2023-06-27,  10:35 PM","2023-06-27,  10:35 PM",Tylenol 
Health,Temperature,"2023-06-27,  10:35 PM","2023-06-27,  10:35 PM",38.3°C
Sleep,,"2023-06-26,  10:34 PM","2023-06-27,  9:24 AM",
Sleep,,"2023-06-26,  12:35 PM","2023-06-26,  1:21 PM",
Sleep,,"2023-06-26,  12:06 AM","2023-06-26,  8:11 AM",
Sleep,,"2023-06-25,  1:50 PM","2023-06-25,  3:50 PM",
Sleep,,"2023-06-24,  11:54 PM","2023-06-25,  9:30 AM",
Sleep,,"2023-06-23,  10:42 PM","2023-06-24,  8:51 AM",
Sleep,,"2023-06-23,  1:00 PM","2023-06-23,  1:56 PM",
Sleep,,"2023-06-22,  10:50 PM","2023-06-23,  8:00 AM",
Sleep,,"2023-06-22,  1:15 PM","2023-06-22,  2:05 PM",
Sleep,,"2023-06-21,  10:06 PM","2023-06-22,  8:16 AM",
Sleep,,"2023-06-21,  1:37 PM","2023-06-21,  2:06 PM",
Sleep,,"2023-06-20,  10:53 PM","2023-06-21,  8:14 AM",
Sleep,,"2023-06-20,  11:24 AM","2023-06-20,  11:56 AM",
Sleep,,"2023-06-19,  10:04 PM","2023-06-20,  7:54 AM",
Sleep,,"2023-06-18,  10:57 PM","2023-06-19,  8:07 AM",
Sleep,,"2023-06-18,  12:21 AM","2023-06-18,  9:00 AM",
Health,Medication,"2023-06-17,  11:56 PM","2023-06-17,  11:56 PM",Tylenol 
Sleep,,"2023-06-17,  6:25 PM","2023-06-17,  6:47 PM",
Sleep,,"2023-06-16,  11:05 PM","2023-06-17,  9:15 AM",
Sleep,,"2023-06-16,  12:45 PM","2023-06-16,  1:54 PM",
Sleep,,"2023-06-15,  11:03 PM","2023-06-16,  8:26 AM",
Sleep,,"2023-06-15,  12:30 PM","2023-06-15,  1:54 PM",
Sleep,,"2023-06-14,  11:00 PM","2023-06-15,  8:21 AM",
Sleep,,"2023-06-14,  1:00 PM","2023-06-14,  2:00 PM",
Sleep,,"2023-06-13,  11:25 PM","2023-06-14,  8:08 AM",
Sleep,,"2023-06-12,  10:39 PM","2023-06-13,  10:43 AM",
Sleep,,"2023-06-12,  12:17 AM","2023-06-12,  8:01 AM",
Sleep,,"2023-06-11,  5:49 PM","2023-06-11,  6:12 PM",
Sleep,,"2023-06-10,  11:55 PM","2023-06-11,  10:10 AM",
Sleep,,"2023-06-09,  10:55 PM","2023-06-10,  9:17 AM",
Sleep,,"2023-06-09,  1:15 PM","2023-06-09,  1:55 PM",
Sleep,,"2023-06-08,  10:48 PM","2023-06-09,  8:06 AM",
Sleep,,"2023-06-08,  1:15 PM","2023-06-08,  2:00 PM",
Sleep,,"2023-06-07,  10:02 PM","2023-06-08,  8:10 AM",
Sleep,,"2023-06-06,  10:51 PM","2023-06-07,  8:04 AM",
Sleep,,"2023-06-05,  10:32 PM","2023-06-06,  9:20 AM",
Health,Medication,"2023-06-05,  11:00 AM","2023-06-05,  11:00 AM",Teva-cephalexin 
Sleep,,"2023-06-05,  12:36 AM","2023-06-05,  9:20 AM",
Health,Medication,"2023-06-04,  9:21 PM","2023-06-04,  9:21 PM",Teva-cephalexin 
Sleep,,"2023-06-04,  7:55 PM","2023-06-04,  8:25 PM",
Health,Medication,"2023-06-04,  12:02 PM","2023-06-04,  12:02 PM",Teva-cephalexin 
Sleep,,"2023-06-04,  12:21 AM","2023-06-04,  10:08 AM",
Health,Medication,"2023-06-03,  10:42 PM","2023-06-03,  10:42 PM",Tylenol 
Health,Medication,"2023-06-03,  10:35 PM","2023-06-03,  10:35 PM",Teva-cephalexin 
Health,Medication,"2023-06-03,  12:00 PM","2023-06-03,  12:00 PM",Teva-cephalexin 
Sleep,,"2023-06-03,  12:11 AM","2023-06-03,  11:20 AM",
Health,Medication,"2023-06-02,  10:00 PM","2023-06-02,  10:00 PM",Teva-cephalexin 
Sleep,,"2023-06-02,  4:56 PM","2023-06-02,  5:35 PM",
Sleep,,"2023-06-02,  10:10 AM","2023-06-02,  10:42 AM",
Health,Medication,"2023-06-02,  5:50 AM","2023-06-02,  5:50 AM",Teva-cephalexin 
Sleep,,"2023-06-01,  9:47 PM","2023-06-02,  5:50 AM",
Health,Medication,"2023-06-01,  8:44 PM","2023-06-01,  8:44 PM",Teva-cephalexin 
Health,Medication,"2023-06-01,  9:00 AM","2023-06-01,  9:00 AM",Teva-cephalexin 
Sleep,,"2023-05-31,  10:25 PM","2023-06-01,  8:05 AM",
Health,Medication,"2023-05-31,  8:00 PM","2023-05-31,  8:00 PM",Teva-cephalexin 
Sleep,,"2023-05-31,  1:05 PM","2023-05-31,  2:05 PM",
Health,Medication,"2023-05-31,  9:00 AM","2023-05-31,  9:00 AM",Teva-cephalexin 
Sleep,,"2023-05-30,  10:41 PM","2023-05-31,  8:20 AM",
Health,Medication,"2023-05-30,  9:30 PM","2023-05-30,  9:30 PM",Teva-cephalexin 
Health,Medication,"2023-05-30,  11:00 AM","2023-05-30,  11:00 AM",Teva-cephalexin 
Sleep,,"2023-05-29,  10:12 PM","2023-05-30,  9:01 AM",
Growth,Weight,"2023-05-29,  9:55 PM","2023-05-29,  9:55 PM",15kg
Health,Medication,"2023-05-29,  9:00 PM","2023-05-29,  9:00 PM",Teva-cephalexin
Sleep,,"2023-05-28,  10:38 PM","2023-05-29,  9:27 AM",
Sleep,,"2023-05-28,  2:47 PM","2023-05-28,  3:23 PM",
Sleep,,"2023-05-27,  10:46 PM","2023-05-28,  8:26 AM",
Sleep,,"2023-05-26,  10:05 PM","2023-05-27,  7:30 AM",
Sleep,,"2023-05-25,  9:52 PM","2023-05-26,  7:50 AM",
Sleep,,"2023-05-24,  9:46 PM","2023-05-25,  7:51 AM",
Sleep,,"2023-05-23,  9:20 PM","2023-05-24,  8:08 AM",
Sleep,,"2023-05-22,  11:45 PM","2023-05-23,  9:02 AM",
Sleep,,"2023-05-22,  12:07 AM","2023-05-22,  10:35 AM",
Sleep,,"2023-05-21,  1:40 AM","2023-05-21,  10:00 AM",
Sleep,,"2023-05-20,  9:45 PM","2023-05-20,  10:07 PM",
Sleep,,"2023-05-19,  9:48 PM","2023-05-20,  10:53 AM",
Sleep,,"2023-05-18,  9:32 PM","2023-05-19,  7:59 AM",
Sleep,,"2023-05-17,  9:13 PM","2023-05-18,  7:56 AM",
Sleep,,"2023-05-16,  11:27 PM","2023-05-17,  7:59 AM",
Sleep,,"2023-05-16,  1:18 AM","2023-05-16,  10:27 AM",
Sleep,,"2023-05-15,  6:10 PM","2023-05-15,  7:11 PM",
Sleep,,"2023-05-15,  12:05 AM","2023-05-15,  10:17 AM",
Sleep,,"2023-05-14,  5:57 PM","2023-05-14,  6:20 PM",
Sleep,,"2023-05-13,  11:40 PM","2023-05-14,  9:39 AM",
Sleep,,"2023-05-12,  10:16 PM","2023-05-13,  8:46 AM",
Sleep,,"2023-05-11,  9:43 PM","2023-05-12,  7:54 AM",
Sleep,,"2023-05-10,  9:47 PM","2023-05-11,  7:59 AM",
Sleep,,"2023-05-09,  11:26 PM","2023-05-10,  8:00 AM",
Sleep,,"2023-05-08,  9:44 PM","2023-05-09,  10:09 AM",
Sleep,,"2023-05-08,  1:05 PM","2023-05-08,  1:39 PM",
Sleep,,"2023-05-08,  12:06 AM","2023-05-08,  8:00 AM",
Sleep,,"2023-05-07,  7:55 PM","2023-05-07,  8:23 PM",
Sleep,,"2023-05-06,  11:43 PM","2023-05-07,  10:24 AM",
Sleep,,"2023-05-05,  11:45 PM","2023-05-06,  12:26 PM",
Sleep,,"2023-05-05,  12:30 PM","2023-05-05,  2:01 PM",
Sleep,,"2023-05-04,  9:54 PM","2023-05-05,  8:34 AM",
Sleep,,"2023-05-03,  10:44 PM","2023-05-04,  9:24 AM",
Sleep,,"2023-05-02,  11:22 PM","2023-05-03,  9:10 AM",
Health,Medication,"2023-05-02,  6:20 PM","2023-05-02,  6:20 PM",Tylenol 
Health,Temperature,"2023-05-02,  6:20 PM","2023-05-02,  6:20 PM",39°C
Sleep,,"2023-05-02,  2:30 PM","2023-05-02,  4:10 PM",
Health,Temperature,"2023-05-02,  12:58 PM","2023-05-02,  12:58 PM",39.2°C
Health,Medication,"2023-05-02,  12:58 PM","2023-05-02,  12:58 PM",Tylenol 
Health,Temperature,"2023-05-02,  8:21 AM","2023-05-02,  8:21 AM",38.6°C
Health,Medication,"2023-05-02,  8:21 AM","2023-05-02,  8:21 AM",Tylenol 
Sleep,,"2023-05-01,  10:49 PM","2023-05-02,  7:06 AM",
Health,Temperature,"2023-05-01,  8:42 PM","2023-05-01,  8:42 PM",38°C
Health,Medication,"2023-05-01,  8:42 PM","2023-05-01,  8:42 PM",Tylenol 
Health,Temperature,"2023-05-01,  2:12 PM","2023-05-01,  2:12 PM",38.5°C
Health,Medication,"2023-05-01,  2:12 PM","2023-05-01,  2:12 PM",Tylenol 
Sleep,,"2023-05-01,  12:30 PM","2023-05-01,  1:27 PM",
Sleep,,"2023-05-01,  12:30 AM","2023-05-01,  8:09 AM",
Health,Temperature,"2023-04-30,  9:41 PM","2023-04-30,  9:41 PM",38.9°C
Health,Medication,"2023-04-30,  9:41 PM","2023-04-30,  9:41 PM",Advil 
Health,Temperature,"2023-04-30,  7:04 PM","2023-04-30,  7:04 PM",39.4°C
Health,Medication,"2023-04-30,  7:04 PM","2023-04-30,  7:04 PM",Acetaminophen 
Sleep,,"2023-04-30,  5:30 PM","2023-04-30,  6:47 PM",
Health,Temperature,"2023-04-30,  2:12 PM","2023-04-30,  2:12 PM",38.9°C
Health,Medication,"2023-04-30,  2:12 PM","2023-04-30,  2:12 PM",Acetaminophen 
Sleep,,"2023-04-30,  10:30 AM","2023-04-30,  12:55 PM",
Health,Temperature,"2023-04-30,  10:08 AM","2023-04-30,  10:08 AM",39.1°C
Health,Medication,"2023-04-30,  9:58 AM","2023-04-30,  9:58 AM",Tylenol 
Sleep,,"2023-04-30,  1:22 AM","2023-04-30,  9:15 AM",
Health,Medication,"2023-04-30,  12:04 AM","2023-04-30,  12:04 AM",Acetaminophen 
Health,Temperature,"2023-04-29,  11:08 PM","2023-04-29,  11:08 PM",38.3°C
Sleep,,"2023-04-29,  9:28 PM","2023-04-29,  10:17 PM",
Sleep,,"2023-04-28,  9:37 PM","2023-04-29,  8:45 AM",
Sleep,,"2023-04-27,  9:56 PM","2023-04-28,  8:01 AM",
Sleep,,"2023-04-26,  9:50 PM","2023-04-27,  8:06 AM",
Sleep,,"2023-04-25,  10:50 PM","2023-04-26,  8:00 AM",
Sleep,,"2023-04-25,  5:17 PM","2023-04-25,  5:39 PM",
Sleep,,"2023-04-24,  10:10 PM","2023-04-25,  9:05 AM",
Sleep,,"2023-04-24,  1:35 PM","2023-04-24,  2:12 PM",
Sleep,,"2023-04-23,  11:05 PM","2023-04-24,  8:00 AM",
Growth,Height,"2023-04-23,  2:24 PM","2023-04-23,  2:24 PM",99cm
Sleep,,"2023-04-22,  11:49 PM","2023-04-23,  10:09 AM",
Sleep,,"2023-04-22,  2:32 PM","2023-04-22,  4:02 PM",
Sleep,,"2023-04-21,  11:03 PM","2023-04-22,  9:35 AM",
Sleep,,"2023-04-20,  10:10 PM","2023-04-21,  9:01 AM",
Sleep,,"2023-04-19,  10:50 PM","2023-04-20,  9:29 AM",
Sleep,,"2023-04-18,  11:38 PM","2023-04-19,  9:12 AM",
Sleep,,"2023-04-18,  4:22 PM","2023-04-18,  6:03 PM",
Sleep,,"2023-04-17,  10:27 PM","2023-04-18,  7:56 AM",
Sleep,,"2023-04-16,  9:57 PM","2023-04-17,  9:04 AM",
Sleep,,"2023-04-15,  11:40 PM","2023-04-16,  9:09 AM",
Sleep,,"2023-04-15,  3:37 PM","2023-04-15,  4:48 PM",
Sleep,,"2023-04-14,  11:30 PM","2023-04-15,  8:31 AM",
Health,Medication,"2023-04-14,  8:50 PM","2023-04-14,  8:50 PM",Advil
Sleep,,"2023-04-14,  2:10 PM","2023-04-14,  4:00 PM",
Sleep,,"2023-04-13,  9:38 PM","2023-04-14,  7:01 AM",
Sleep,,"2023-04-12,  9:53 PM","2023-04-13,  7:34 AM",
Sleep,,"2023-04-11,  9:33 PM","2023-04-12,  8:20 AM",
Sleep,,"2023-04-10,  9:45 PM","2023-04-11,  8:03 AM",
Sleep,,"2023-04-09,  10:30 PM","2023-04-10,  8:33 AM",
Sleep,,"2023-04-08,  9:34 PM","2023-04-09,  8:47 AM",
Sleep,,"2023-04-07,  10:16 PM","2023-04-08,  8:05 AM",
Sleep,,"2023-04-07,  4:45 PM","2023-04-07,  5:16 PM",
Sleep,,"2023-04-06,  9:49 PM","2023-04-07,  8:05 AM",
Sleep,,"2023-04-05,  9:40 PM","2023-04-06,  7:45 AM",
Sleep,,"2023-04-05,  1:05 PM","2023-04-05,  2:03 PM",
Sleep,,"2023-04-04,  9:32 PM","2023-04-05,  7:34 AM",
Sleep,,"2023-04-03,  9:54 PM","2023-04-04,  7:40 AM",
Sleep,,"2023-04-03,  1:05 PM","2023-04-03,  1:58 PM",
Sleep,,"2023-04-02,  9:39 PM","2023-04-03,  8:02 AM",
Sleep,,"2023-04-02,  3:02 PM","2023-04-02,  3:37 PM",
Sleep,,"2023-04-01,  10:10 PM","2023-04-02,  8:40 AM",
Sleep,,"2023-03-31,  10:09 PM","2023-04-01,  8:11 AM",
Sleep,,"2023-03-31,  1:05 PM","2023-03-31,  2:03 PM",
Sleep,,"2023-03-30,  10:07 PM","2023-03-31,  8:00 AM",
Sleep,,"2023-03-30,  1:24 PM","2023-03-30,  1:59 PM",
Sleep,,"2023-03-29,  9:23 PM","2023-03-30,  7:56 AM",
Sleep,,"2023-03-28,  9:50 PM","2023-03-29,  7:56 AM",
Sleep,,"2023-03-27,  8:46 PM","2023-03-28,  9:00 AM",
Sleep,,"2023-03-26,  10:29 PM","2023-03-27,  7:56 AM",
Sleep,,"2023-03-25,  11:04 PM","2023-03-26,  10:12 AM",
Sleep,,"2023-03-24,  10:40 PM","2023-03-25,  9:23 AM",
Sleep,,"2023-03-23,  9:52 PM","2023-03-24,  10:14 AM",
Sleep,,"2023-03-22,  9:33 PM","2023-03-23,  9:33 AM",
Sleep,,"2023-03-21,  11:00 PM","2023-03-22,  9:18 AM",
Sleep,,"2023-03-20,  11:16 PM","2023-03-21,  9:30 AM",
Growth,Weight,"2023-03-20,  7:15 PM","2023-03-20,  7:15 PM",14.2kg
Growth,Height,"2023-03-20,  7:14 PM","2023-03-20,  7:14 PM",98.5cm
Sleep,,"2023-03-19,  11:53 PM","2023-03-20,  9:50 AM",
Sleep,,"2023-03-18,  11:31 PM","2023-03-19,  9:50 AM",
Sleep,,"2023-03-18,  5:47 PM","2023-03-18,  6:04 PM",
Sleep,,"2023-03-17,  11:10 PM","2023-03-18,  9:28 AM",
Sleep,,"2023-03-16,  10:45 PM","2023-03-17,  10:03 AM",
Sleep,,"2023-03-15,  11:35 PM","2023-03-16,  10:01 AM",
Sleep,,"2023-03-14,  11:16 PM","2023-03-15,  10:15 AM",
Sleep,,"2023-03-14,  5:21 PM","2023-03-14,  6:04 PM",
Sleep,,"2023-03-13,  10:55 PM","2023-03-14,  8:15 AM",
Sleep,,"2023-03-13,  7:05 PM","2023-03-13,  7:31 PM",
Sleep,,"2023-03-12,  9:48 PM","2023-03-13,  9:10 AM",
Sleep,,"2023-03-11,  10:17 PM","2023-03-12,  8:20 AM",
Sleep,,"2023-03-10,  9:39 PM","2023-03-11,  8:10 AM",
Sleep,,"2023-03-09,  11:04 PM","2023-03-10,  8:15 AM",
Sleep,,"2023-03-09,  12:50 PM","2023-03-09,  2:01 PM",
Sleep,,"2023-03-08,  10:43 PM","2023-03-09,  7:57 AM",
Sleep,,"2023-03-08,  1:15 PM","2023-03-08,  2:06 PM",
Sleep,,"2023-03-07,  10:42 PM","2023-03-08,  7:57 AM",
Sleep,,"2023-03-06,  9:55 PM","2023-03-07,  9:15 AM",
Sleep,,"2023-03-06,  1:00 PM","2023-03-06,  2:00 PM",
Sleep,,"2023-03-05,  9:53 PM","2023-03-06,  8:05 AM",
Sleep,,"2023-03-04,  11:42 PM","2023-03-05,  9:15 AM",
Sleep,,"2023-03-04,  4:22 PM","2023-03-04,  4:45 PM",
